Pin Pin_Name Bank
AB9 IO_L11N_T1_SRCC_33_AB9 33
AC9 IO_L12P_T1_MRCC_33_AC9 33
AD9 IO_L12N_T1_MRCC_33_AD9 33
AB11 IO_L13P_T2_MRCC_33_AB11 33
AC11 IO_L13N_T2_MRCC_33_AC11 33
AA10 IO_L14P_T2_SRCC_33_AA10 33
AB10 IO_L14N_T2_SRCC_33_AB10 33
AB12 IO_L15P_T2_DQS_33_AB12 33
AC12 IO_L15N_T2_DQS_33_AC12 33
AA13 IO_L16P_T2_33_AA13 33
AA12 IO_L16N_T2_33_AA12 33
AC13 IO_L17P_T2_33_AC13 33
AD13 IO_L17N_T2_33_AD13 33
Y13 IO_L18P_T2_33_Y13 33
Y12 IO_L18N_T2_33_Y12 33
AD11 IO_L19P_T3_33_AD11 33
AE11 IO_L19N_T3_VREF_33_AE11 33
AD10 IO_L20P_T3_33_AD10 33
AE10 IO_L20N_T3_33_AE10 33
AE12 IO_L21P_T3_DQS_33_AE12 33
AF12 IO_L21N_T3_DQS_33_AF12 33
AE8 IO_L22P_T3_33_AE8 33
AF8 IO_L22N_T3_33_AF8 33
AE13 IO_L23P_T3_33_AE13 33
AF13 IO_L23N_T3_33_AF13 33
AF10 IO_L24P_T3_33_AF10 33
AF9 IO_L24N_T3_33_AF9 33
V12 IO_25_VRP_33_V12 33
U4 IO_0_VRN_34_U4 34
U6 IO_L1P_T0_34_U6 34
U5 IO_L1N_T0_34_U5 34
U2 IO_L2P_T0_34_U2 34
U1 IO_L2N_T0_34_U1 34
W6 IO_L3P_T0_DQS_34_W6 34
W5 IO_L3N_T0_DQS_34_W5 34
V3 IO_L4P_T0_34_V3 34
W3 IO_L4N_T0_34_W3 34
U7 IO_L5P_T0_34_U7 34
V6 IO_L5N_T0_34_V6 34
V4 IO_L6P_T0_34_V4 34
W4 IO_L6N_T0_VREF_34_W4 34
Y3 IO_L7P_T1_34_Y3 34
Y2 IO_L7N_T1_34_Y2 34
V2 IO_L8P_T1_34_V2 34
V1 IO_L8N_T1_34_V1 34
AB1 IO_L9P_T1_DQS_34_AB1 34
AC1 IO_L9N_T1_DQS_34_AC1 34
W1 IO_L10P_T1_34_W1 34
Y1 IO_L10N_T1_34_Y1 34
AB2 IO_L11P_T1_SRCC_34_AB2 34
AC2 IO_L11N_T1_SRCC_34_AC2 34
AA3 IO_L12P_T1_MRCC_34_AA3 34
AA2 IO_L12N_T1_MRCC_34_AA2 34
AA4 IO_L13P_T2_MRCC_34_AA4 34
AB4 IO_L13N_T2_MRCC_34_AB4 34
AC4 IO_L14P_T2_SRCC_34_AC4 34
AC3 IO_L14N_T2_SRCC_34_AC3 34
AA5 IO_L15P_T2_DQS_34_AA5 34
AB5 IO_L15N_T2_DQS_34_AB5 34
AB6 IO_L16P_T2_34_AB6 34
AC6 IO_L16N_T2_34_AC6 34
Y6 IO_L17P_T2_34_Y6 34
Y5 IO_L17N_T2_34_Y5 34
AD6 IO_L18P_T2_34_AD6 34
AD5 IO_L18N_T2_34_AD5 34
AD4 IO_L19P_T3_34_AD4 34
AD3 IO_L19N_T3_VREF_34_AD3 34
AD1 IO_L20P_T3_34_AD1 34
